Top_HTC,Bottom_HTC,Ramp1,Hold1,Ramp2,Exotherm,Lag
100,100,1,105,1,3.707623,3.6590199
100,100,1,110,1,3.260625,3.6590199
100,100,1,115,1,2.711669,3.6590199
100,100,1,120,1,2.232888,3.6590199
100,100,1,125,1,2.030891,3.6590199
100,100,1,105,2,10.433897,6.908278
100,100,1,110,2,9.433928,6.619537
100,100,1,115,2,8.279381,6.236843
100,100,1,120,2,7.017795,5.804966
100,100,1,125,2,5.717086,5.342439
100,100,1,105,3,14.957426,10.474374
100,100,1,110,3,13.684601,10.112387
100,100,1,115,3,12.109181,9.642055
100,100,1,120,3,10.240029,9.108896
100,100,1,125,3,8.194875,8.584559
100,100,1,105,4,16.874052,13.994378
100,100,1,110,4,15.56187,13.557359
100,100,1,115,4,13.886761,13.009157
100,100,1,120,4,11.827241,12.373946
100,100,1,125,4,9.474246,11.779205
100,100,1,105,5,17.794257,17.461701
100,100,1,110,5,16.482796,16.949166
100,100,1,115,5,14.787969,16.320897
100,100,1,120,5,12.655832,15.5919
100,100,1,125,5,10.173408,14.927747
100,100,2,105,1,3.914765,7.3744707
100,100,2,110,1,3.529451,7.3744707
100,100,2,115,1,3.054017,7.3744707
100,100,2,120,1,2.474424,7.3744707
100,100,2,125,1,2.163288,7.3744707
100,100,2,105,2,10.843204,7.3744644
100,100,2,110,2,9.942591,7.3744644
100,100,2,115,2,8.885251,7.3744644
100,100,2,120,2,7.688732,7.3744644
100,100,2,125,2,6.421268,7.3744644
100,100,2,105,3,15.427909,10.512849
100,100,2,110,3,14.318992,10.163443
100,100,2,115,3,12.916884,9.7104
100,100,2,120,3,11.2068,9.169487
100,100,2,125,3,9.2633,8.593245
100,100,2,105,4,17.340868,14.04286
100,100,2,110,4,16.197721,13.619093
100,100,2,115,4,14.730272,13.088168
100,100,2,120,4,12.882746,12.445683
100,100,2,125,4,10.690068,11.786516
100,100,2,105,5,18.255225,17.516101
100,100,2,110,5,17.119969,17.019764
100,100,2,115,5,15.635546,16.41208
100,100,2,120,5,13.750161,15.668752
100,100,2,125,5,11.457088,14.934816
100,100,3,105,1,3.998747333,11.0964557
100,100,3,110,1,3.626425,11.1054824
100,100,3,115,1,3.235621667,11.1058975
100,100,3,120,1,2.639552333,11.1058975
100,100,3,125,1,2.212636,11.1058975
100,100,3,105,2,10.991783,11.0984048
100,100,3,110,2,10.1313,11.1054824
100,100,3,115,2,9.114709,11.1058928
100,100,3,120,2,7.947001,11.1058928
100,100,3,125,2,6.693856,11.1058928
100,100,3,105,3,15.599909,11.0984048
100,100,3,110,3,14.5343,11.1054824
100,100,3,115,3,13.211298,11.1058975
100,100,3,120,3,11.562055,11.1058975
100,100,3,125,3,9.671949,11.1058975
100,100,3,105,4,17.509153,14.01954967
100,100,3,110,4,16.424368,13.641327
100,100,3,115,4,15.03028,12.89740333
100,100,3,120,4,13.267209,12.43724067
100,100,3,125,4,11.149846,11.804396
100,100,3,105,5,18.415698,17.48731033
100,100,3,110,5,17.344955,17.044593
100,100,3,115,5,15.935021,16.16905167
100,100,3,120,5,14.140441,15.65469233
100,100,3,125,5,11.93391,14.952643
100,100,4,105,1,4.028986,14.7549042
100,100,4,110,1,3.67883,14.7865086
100,100,4,115,1,3.244755,14.8188734
100,100,4,120,1,2.713842,14.835627
100,100,4,125,1,2.239852,14.838751
100,100,4,105,2,11.076154,14.7505023
100,100,4,110,2,10.233073,14.7899978
100,100,4,115,2,9.230981,14.8165
100,100,4,120,2,8.086257,14.836552
100,100,4,125,2,6.848075,14.83891
100,100,4,105,3,15.696859,14.7549042
100,100,4,110,3,14.663611,14.7933815
100,100,4,115,3,13.359214,14.8188734
100,100,4,120,3,11.755854,14.834557
100,100,4,125,3,9.891628,14.83891
100,100,4,105,4,17.598748,14.7505023
100,100,4,110,4,16.548369,14.7933815
100,100,4,115,4,15.186078,14.8188734
100,100,4,120,4,13.476394,14.836552
100,100,4,125,4,11.400903,14.83891
100,100,4,105,5,18.503858,17.547775
100,100,4,110,5,17.464958,17.060984
100,100,4,115,5,16.099139,16.467494
100,100,4,120,5,14.350752,15.72649
100,100,4,125,5,12.200373,14.96131
100,100,5,105,1,4.055052,18.2749899
100,100,5,110,1,3.712491,18.3585612
100,100,5,115,1,3.288243,18.4361976
100,100,5,120,1,2.768806,18.490957
100,100,5,125,1,2.257022,18.531575
100,100,5,105,2,11.128597,18.2862235
100,100,5,110,2,10.299434,18.3680259
100,100,5,115,2,9.313824,18.443782
100,100,5,120,2,8.181948,18.490957
100,100,5,125,2,6.94773,18.535585
100,100,5,105,3,15.74902,18.2972261
100,100,5,110,3,14.741161,18.3680259
100,100,5,115,3,13.459739,18.443782
100,100,5,120,3,11.885507,18.496833
100,100,5,125,3,10.043949,18.531575
100,100,5,105,4,17.648235,18.2862235
100,100,5,110,4,16.626521,18.3772789
100,100,5,115,4,15.291476,18.4361976
100,100,5,120,4,13.603373,18.496833
100,100,5,125,4,11.564302,18.531575
100,100,5,105,5,18.560413,18.2862235
100,100,5,110,5,17.538879,18.3772789
100,100,5,115,5,16.203469,18.4361976
100,100,5,120,5,14.488707,18.496833
100,100,5,125,5,12.36369,18.531575
100,30,1,105,1,4.952938,7.402487
100,30,1,110,1,4.238482,7.402487
100,30,1,115,1,3.355938,7.402487
100,30,1,120,1,2.938337,7.402487
100,30,1,125,1,2.911734,7.402487
100,30,1,105,2,13.887533,12.746378
100,30,1,110,2,12.533631,12.077815
100,30,1,115,2,10.907835,11.216382
100,30,1,120,2,9.058296,10.154773
100,30,1,125,2,7.108583,9.028975
100,30,1,105,3,17.404148,19.069375
100,30,1,110,3,15.908423,18.224764
100,30,1,115,3,14.034456,17.166867
100,30,1,120,3,11.773072,15.9015
100,30,1,125,3,9.244014,14.597547
100,30,1,105,4,18.657956,25.174272
100,30,1,110,4,17.158308,24.157341
100,30,1,115,4,15.249122,22.910906
100,30,1,120,4,12.902201,21.454059
100,30,1,125,4,10.196299,19.985619
100,30,1,105,5,19.220798,31.046959
100,30,1,110,5,17.735473,29.865499
100,30,1,115,5,15.835124,28.415001
100,30,1,120,5,13.468516,26.715503
100,30,1,125,5,10.696426,24.838192
100,30,2,105,1,5.301478,14.7787881
100,30,2,110,1,4.694119,14.7787881
